,id,content,tokens,features,sentiment
1,andie-will,"We did the pre-wedding rehearsal! We live in Canada and we're getting married in Brazil in November. The water was cold, but it was worth it.","['pre-wedding', 'rehearsal', 'live', 'canada', 'getting', 'married', 'brazil', 'november', 'water', 'cold', 'worth']","{'length': 82, 'lexdiv': 1.0, 'longestword': 'rehearsal', 'unigram(pre-wedding)': True, 'unigram(rehearsal)': True, 'unigram(live)': True, 'unigram(canada)': True, 'unigram(getting)': True, 'unigram(married)': True, 'unigram(brazil)': True, 'unigram(november)': True, 'unigram(water)': True, 'unigram(cold)': True, 'unigram(worth)': True, ""bigram(('pre-wedding', 'rehearsal'))"": True, ""bigram(('rehearsal', 'live'))"": True, ""bigram(('live', 'canada'))"": True, ""bigram(('canada', 'getting'))"": True, ""bigram(('getting', 'married'))"": True, ""bigram(('married', 'brazil'))"": True, ""bigram(('brazil', 'november'))"": True, ""bigram(('november', 'water'))"": True, ""bigram(('water', 'cold'))"": True, ""bigram(('cold', 'worth'))"": True, ""trigram(('pre-wedding', 'rehearsal', 'live'))"": True, ""trigram(('rehearsal', 'live', 'canada'))"": True, ""trigram(('live', 'canada', 'getting'))"": True, ""trigram(('canada', 'getting', 'married'))"": True, ""trigram(('getting', 'married', 'brazil'))"": True, ""trigram(('married', 'brazil', 'november'))"": True, ""trigram(('brazil', 'november', 'water'))"": True, ""trigram(('november', 'water', 'cold'))"": True, ""trigram(('water', 'cold', 'worth'))"": True}",relief
2,maiara-vilson,💓,['💓'],"{'length': 1, 'lexdiv': 1.0, 'longestword': '💓', 'unigram(💓)': True}",neutral
3,maiara-vilson,"It all started in the hall, the second time he came to the place where I work we've known each other for years but we never imagined that we would be together, we went from the same church, but I walked away and from the moment I saw Vilson everything changed in my life, feeling something very strong, he brought me closer to God, and today I'm sure that This is the man I've always wanted in my life, before I chose him, God had already chosen him for me.","['started', 'hall', 'second', 'time', 'came', 'place', 'work', 'weve', 'known', 'years', 'never', 'imagined', 'would', 'together', 'went', 'church', 'walked', 'away', 'moment', 'saw', 'vilson', 'everything', 'changed', 'life', 'feeling', 'something', 'strong', 'brought', 'closer', 'god', 'today', 'im', 'sure', 'man', 'ive', 'always', 'wanted', 'life', 'chose', 'god', 'already', 'chosen']","{'length': 263, 'lexdiv': 0.9523809523809523, 'longestword': 'everything', 'repeats(life)': 2, 'repeats(god)': 2, 'repeats(im)': 3, 'repeats(chose)': 2, 'unigram(started)': True, 'unigram(hall)': True, 'unigram(second)': True, 'unigram(time)': True, 'unigram(came)': True, 'unigram(place)': True, 'unigram(work)': True, 'unigram(weve)': True, 'unigram(known)': True, 'unigram(years)': True, 'unigram(never)': True, 'unigram(imagined)': True, 'unigram(would)': True, 'unigram(together)': True, 'unigram(went)': True, 'unigram(church)': True, 'unigram(walked)': True, 'unigram(away)': True, 'unigram(moment)': True, 'unigram(saw)': True, 'unigram(vilson)': True, 'unigram(everything)': True, 'unigram(changed)': True, 'unigram(life)': True, 'unigram(feeling)': True, 'unigram(something)': True, 'unigram(strong)': True, 'unigram(brought)': True, 'unigram(closer)': True, 'unigram(god)': True, 'unigram(today)': True, 'unigram(im)': True, 'unigram(sure)': True, 'unigram(man)': True, 'unigram(ive)': True, 'unigram(always)': True, 'unigram(wanted)': True, 'unigram(chose)': True, 'unigram(already)': True, 'unigram(chosen)': True, ""bigram(('started', 'hall'))"": True, ""bigram(('hall', 'second'))"": True, ""bigram(('second', 'time'))"": True, ""bigram(('time', 'came'))"": True, ""bigram(('came', 'place'))"": True, ""bigram(('place', 'work'))"": True, ""bigram(('work', 'weve'))"": True, ""bigram(('weve', 'known'))"": True, ""bigram(('known', 'years'))"": True, ""bigram(('years', 'never'))"": True, ""bigram(('never', 'imagined'))"": True, ""bigram(('imagined', 'would'))"": True, ""bigram(('would', 'together'))"": True, ""bigram(('together', 'went'))"": True, ""bigram(('went', 'church'))"": True, ""bigram(('church', 'walked'))"": True, ""bigram(('walked', 'away'))"": True, ""bigram(('away', 'moment'))"": True, ""bigram(('moment', 'saw'))"": True, ""bigram(('saw', 'vilson'))"": True, ""bigram(('vilson', 'everything'))"": True, ""bigram(('everything', 'changed'))"": True, ""bigram(('changed', 'life'))"": True, ""bigram(('life', 'feeling'))"": True, ""bigram(('feeling', 'something'))"": True, ""bigram(('something', 'strong'))"": True, ""bigram(('strong', 'brought'))"": True, ""bigram(('brought', 'closer'))"": True, ""bigram(('closer', 'god'))"": True, ""bigram(('god', 'today'))"": True, ""bigram(('today', 'im'))"": True, ""bigram(('im', 'sure'))"": True, ""bigram(('sure', 'man'))"": True, ""bigram(('man', 'ive'))"": True, ""bigram(('ive', 'always'))"": True, ""bigram(('always', 'wanted'))"": True, ""bigram(('wanted', 'life'))"": True, ""bigram(('life', 'chose'))"": True, ""bigram(('chose', 'god'))"": True, ""bigram(('god', 'already'))"": True, ""bigram(('already', 'chosen'))"": True, ""trigram(('started', 'hall', 'second'))"": True, ""trigram(('hall', 'second', 'time'))"": True, ""trigram(('second', 'time', 'came'))"": True, ""trigram(('time', 'came', 'place'))"": True, ""trigram(('came', 'place', 'work'))"": True, ""trigram(('place', 'work', 'weve'))"": True, ""trigram(('work', 'weve', 'known'))"": True, ""trigram(('weve', 'known', 'years'))"": True, ""trigram(('known', 'years', 'never'))"": True, ""trigram(('years', 'never', 'imagined'))"": True, ""trigram(('never', 'imagined', 'would'))"": True, ""trigram(('imagined', 'would', 'together'))"": True, ""trigram(('would', 'together', 'went'))"": True, ""trigram(('together', 'went', 'church'))"": True, ""trigram(('went', 'church', 'walked'))"": True, ""trigram(('church', 'walked', 'away'))"": True, ""trigram(('walked', 'away', 'moment'))"": True, ""trigram(('away', 'moment', 'saw'))"": True, ""trigram(('moment', 'saw', 'vilson'))"": True, ""trigram(('saw', 'vilson', 'everything'))"": True, ""trigram(('vilson', 'everything', 'changed'))"": True, ""trigram(('everything', 'changed', 'life'))"": True, ""trigram(('changed', 'life', 'feeling'))"": True, ""trigram(('life', 'feeling', 'something'))"": True, ""trigram(('feeling', 'something', 'strong'))"": True, ""trigram(('something', 'strong', 'brought'))"": True, ""trigram(('strong', 'brought', 'closer'))"": True, ""trigram(('brought', 'closer', 'god'))"": True, ""trigram(('closer', 'god', 'today'))"": True, ""trigram(('god', 'today', 'im'))"": True, ""trigram(('today', 'im', 'sure'))"": True, ""trigram(('im', 'sure', 'man'))"": True, ""trigram(('sure', 'man', 'ive'))"": True, ""trigram(('man', 'ive', 'always'))"": True, ""trigram(('ive', 'always', 'wanted'))"": True, ""trigram(('always', 'wanted', 'life'))"": True, ""trigram(('wanted', 'life', 'chose'))"": True, ""trigram(('life', 'chose', 'god'))"": True, ""trigram(('chose', 'god', 'already'))"": True, ""trigram(('god', 'already', 'chosen'))"": True}",relief
4,maiara-vilson,By our calculations will be 450 guests,"['calculations', '450', 'guests']","{'length': 23, 'lexdiv': 1.0, 'longestword': 'calculations', 'unigram(calculations)': True, 'unigram(450)': True, 'unigram(guests)': True, ""bigram(('calculations', '450'))"": True, ""bigram(('450', 'guests'))"": True, ""trigram(('calculations', '450', 'guests'))"": True}",happiness
5,ana-bruno-27-07-2019,That a dream deis of a child and hj I can fulfill,"['dream', 'deis', 'child', 'hj', 'fulfill']","{'length': 27, 'lexdiv': 1.0, 'longestword': 'fulfill', 'unigram(dream)': True, 'unigram(deis)': True, 'unigram(child)': True, 'unigram(hj)': True, 'unigram(fulfill)': True, ""bigram(('dream', 'deis'))"": True, ""bigram(('deis', 'child'))"": True, ""bigram(('child', 'hj'))"": True, ""bigram(('hj', 'fulfill'))"": True, ""trigram(('dream', 'deis', 'child'))"": True, ""trigram(('deis', 'child', 'hj'))"": True, ""trigram(('child', 'hj', 'fulfill'))"": True}",happiness
6,rafaela-natanael,The man of my life ❤️,"['man', 'life', '❤️']","{'length': 11, 'lexdiv': 1.0, 'longestword': 'life', 'unigram(man)': True, 'unigram(life)': True, 'unigram(❤️)': True, ""bigram(('man', 'life'))"": True, ""bigram(('life', '❤️'))"": True, ""trigram(('man', 'life', '❤️'))"": True}",sadness
7,cris-jony,When you're simply in love with your invitations,"['youre', 'simply', 'love', 'invitations']","{'length': 29, 'lexdiv': 1.0, 'longestword': 'invitations', 'unigram(youre)': True, 'unigram(simply)': True, 'unigram(love)': True, 'unigram(invitations)': True, ""bigram(('youre', 'simply'))"": True, ""bigram(('simply', 'love'))"": True, ""bigram(('love', 'invitations'))"": True, ""trigram(('youre', 'simply', 'love'))"": True, ""trigram(('simply', 'love', 'invitations'))"": True}",love
8,cris-jony,My rosé and rosé gold palette Simply in love,"['rosé', 'rosé', 'gold', 'palette', 'simply', 'love']","{'length': 34, 'lexdiv': 0.8333333333333334, 'longestword': 'palette', 'repeats(rosé)': 2, 'unigram(rosé)': True, 'unigram(gold)': True, 'unigram(palette)': True, 'unigram(simply)': True, 'unigram(love)': True, ""bigram(('rosé', 'rosé'))"": True, ""bigram(('rosé', 'gold'))"": True, ""bigram(('gold', 'palette'))"": True, ""bigram(('palette', 'simply'))"": True, ""bigram(('simply', 'love'))"": True, ""trigram(('rosé', 'rosé', 'gold'))"": True, ""trigram(('rosé', 'gold', 'palette'))"": True, ""trigram(('gold', 'palette', 'simply'))"": True, ""trigram(('palette', 'simply', 'love'))"": True}",love
9,talineemarco,"Anxiety coming up, our pre-wedding was a show! 💗 13 days left!!!","['anxiety', 'coming', 'pre-wedding', 'show', '💗', '13', 'days', 'left']","{'length': 46, 'lexdiv': 1.0, 'longestword': 'wedding', 'unigram(anxiety)': True, 'unigram(coming)': True, 'unigram(pre-wedding)': True, 'unigram(show)': True, 'unigram(💗)': True, 'unigram(13)': True, 'unigram(days)': True, 'unigram(left)': True, ""bigram(('anxiety', 'coming'))"": True, ""bigram(('coming', 'pre-wedding'))"": True, ""bigram(('pre-wedding', 'show'))"": True, ""bigram(('show', '💗'))"": True, ""bigram(('💗', '13'))"": True, ""bigram(('13', 'days'))"": True, ""bigram(('days', 'left'))"": True, ""trigram(('anxiety', 'coming', 'pre-wedding'))"": True, ""trigram(('coming', 'pre-wedding', 'show'))"": True, ""trigram(('pre-wedding', 'show', '💗'))"": True, ""trigram(('show', '💗', '13'))"": True, ""trigram(('💗', '13', 'days'))"": True, ""trigram(('13', 'days', 'left'))"": True}",relief
10,carol-clodoaldo,This is our Save The Date.,"['save', 'date']","{'length': 9, 'lexdiv': 1.0, 'longestword': 'date', 'unigram(save)': True, 'unigram(date)': True, ""bigram(('save', 'date'))"": True}",neutral
11,damaris-samuel,Inspiration for those who like cascading bouquet 🥰,"['inspiration', 'like', 'cascading', 'bouquet', '🥰']","{'length': 36, 'lexdiv': 1.0, 'longestword': 'inspiration', 'unigram(inspiration)': True, 'unigram(like)': True, 'unigram(cascading)': True, 'unigram(bouquet)': True, 'unigram(🥰)': True, ""bigram(('inspiration', 'like'))"": True, ""bigram(('like', 'cascading'))"": True, ""bigram(('cascading', 'bouquet'))"": True, ""bigram(('bouquet', '🥰'))"": True, ""trigram(('inspiration', 'like', 'cascading'))"": True, ""trigram(('like', 'cascading', 'bouquet'))"": True, ""trigram(('cascading', 'bouquet', '🥰'))"": True}",relief
12,damaris-samuel,Fake cake inspiration,"['fake', 'cake', 'inspiration']","{'length': 21, 'lexdiv': 1.0, 'longestword': 'inspiration', 'unigram(fake)': True, 'unigram(cake)': True, 'unigram(inspiration)': True, ""bigram(('fake', 'cake'))"": True, ""bigram(('cake', 'inspiration'))"": True, ""trigram(('fake', 'cake', 'inspiration'))"": True}",love
13,tati-alexandre,😍,['😍'],"{'length': 1, 'lexdiv': 1.0, 'longestword': '😍', 'unigram(😍)': True}",neutral
14,carinadiego,10 days 😍😱,"['10', 'days', '😍😱']","{'length': 10, 'lexdiv': 1.0, 'longestword': 'days', 'unigram(10)': True, 'unigram(days)': True, 'unigram(😍😱)': True, ""bigram(('10', 'days'))"": True, ""bigram(('days', '😍😱'))"": True, ""trigram(('10', 'days', '😍😱'))"": True}",sadness
15,francimara-walber,1 year and 18 days,"['1', 'year', '18', 'days']","{'length': 14, 'lexdiv': 1.0, 'longestword': 'days', 'repeats(1)': 2, 'unigram(1)': True, 'unigram(year)': True, 'unigram(18)': True, 'unigram(days)': True, ""bigram(('1', 'year'))"": True, ""bigram(('year', '18'))"": True, ""bigram(('18', 'days'))"": True, ""trigram(('1', 'year', '18'))"": True, ""trigram(('year', '18', 'days'))"": True}",hate
16,francimara-walber,That you insist on your dream of getting married,"['insist', 'dream', 'getting', 'married']","{'length': 28, 'lexdiv': 1.0, 'longestword': 'married', 'unigram(insist)': True, 'unigram(dream)': True, 'unigram(getting)': True, 'unigram(married)': True, ""bigram(('insist', 'dream'))"": True, ""bigram(('dream', 'getting'))"": True, ""bigram(('getting', 'married'))"": True, ""trigram(('insist', 'dream', 'getting'))"": True, ""trigram(('dream', 'getting', 'married'))"": True}",love
17,daiani-vinicios,will be unforgettable every moment,"['unforgettable', 'every', 'moment']","{'length': 26, 'lexdiv': 1.0, 'longestword': 'unforgettable', 'unigram(unforgettable)': True, 'unigram(every)': True, 'unigram(moment)': True, ""bigram(('unforgettable', 'every'))"": True, ""bigram(('every', 'moment'))"": True, ""trigram(('unforgettable', 'every', 'moment'))"": True}",neutral
18,daiani-vinicios,will be our day,['day'],"{'length': 3, 'lexdiv': 1.0, 'longestword': 'day', 'unigram(day)': True}",sadness
19,daiani-vinicios,Vinicios and Daiani,"['vinicios', 'daiani']","{'length': 15, 'lexdiv': 1.0, 'longestword': 'vinicios', 'unigram(vinicios)': True, 'unigram(daiani)': True, ""bigram(('vinicios', 'daiani'))"": True}",neutral
20,damaris-samuel,Our beautiful table 😍,"['beautiful', 'table', '😍']","{'length': 17, 'lexdiv': 1.0, 'longestword': 'beautiful', 'unigram(beautiful)': True, 'unigram(table)': True, 'unigram(😍)': True, ""bigram(('beautiful', 'table'))"": True, ""bigram(('table', '😍'))"": True, ""trigram(('beautiful', 'table', '😍'))"": True}",happiness
21,bruno-jennifer-2019,"Do you guys like to run away from the traditional? I asked a friend of mine to make my felt bouquet with hearts and birds in serenity blue, and I asked her to fill it up enough to look really nice. I can't wait to see the result. Would they do that, too?","['guys', 'like', 'run', 'away', 'traditional', 'asked', 'friend', 'mine', 'make', 'felt', 'bouquet', 'hearts', 'birds', 'serenity', 'blue', 'asked', 'fill', 'enough', 'look', 'really', 'nice', 'cant', 'wait', 'see', 'result', 'would']","{'length': 155, 'lexdiv': 0.9615384615384616, 'longestword': 'traditional', 'repeats(asked)': 2, 'unigram(guys)': True, 'unigram(like)': True, 'unigram(run)': True, 'unigram(away)': True, 'unigram(traditional)': True, 'unigram(asked)': True, 'unigram(friend)': True, 'unigram(mine)': True, 'unigram(make)': True, 'unigram(felt)': True, 'unigram(bouquet)': True, 'unigram(hearts)': True, 'unigram(birds)': True, 'unigram(serenity)': True, 'unigram(blue)': True, 'unigram(fill)': True, 'unigram(enough)': True, 'unigram(look)': True, 'unigram(really)': True, 'unigram(nice)': True, 'unigram(cant)': True, 'unigram(wait)': True, 'unigram(see)': True, 'unigram(result)': True, 'unigram(would)': True, ""bigram(('guys', 'like'))"": True, ""bigram(('like', 'run'))"": True, ""bigram(('run', 'away'))"": True, ""bigram(('away', 'traditional'))"": True, ""bigram(('traditional', 'asked'))"": True, ""bigram(('asked', 'friend'))"": True, ""bigram(('friend', 'mine'))"": True, ""bigram(('mine', 'make'))"": True, ""bigram(('make', 'felt'))"": True, ""bigram(('felt', 'bouquet'))"": True, ""bigram(('bouquet', 'hearts'))"": True, ""bigram(('hearts', 'birds'))"": True, ""bigram(('birds', 'serenity'))"": True, ""bigram(('serenity', 'blue'))"": True, ""bigram(('blue', 'asked'))"": True, ""bigram(('asked', 'fill'))"": True, ""bigram(('fill', 'enough'))"": True, ""bigram(('enough', 'look'))"": True, ""bigram(('look', 'really'))"": True, ""bigram(('really', 'nice'))"": True, ""bigram(('nice', 'cant'))"": True, ""bigram(('cant', 'wait'))"": True, ""bigram(('wait', 'see'))"": True, ""bigram(('see', 'result'))"": True, ""bigram(('result', 'would'))"": True, ""trigram(('guys', 'like', 'run'))"": True, ""trigram(('like', 'run', 'away'))"": True, ""trigram(('run', 'away', 'traditional'))"": True, ""trigram(('away', 'traditional', 'asked'))"": True, ""trigram(('traditional', 'asked', 'friend'))"": True, ""trigram(('asked', 'friend', 'mine'))"": True, ""trigram(('friend', 'mine', 'make'))"": True, ""trigram(('mine', 'make', 'felt'))"": True, ""trigram(('make', 'felt', 'bouquet'))"": True, ""trigram(('felt', 'bouquet', 'hearts'))"": True, ""trigram(('bouquet', 'hearts', 'birds'))"": True, ""trigram(('hearts', 'birds', 'serenity'))"": True, ""trigram(('birds', 'serenity', 'blue'))"": True, ""trigram(('serenity', 'blue', 'asked'))"": True, ""trigram(('blue', 'asked', 'fill'))"": True, ""trigram(('asked', 'fill', 'enough'))"": True, ""trigram(('fill', 'enough', 'look'))"": True, ""trigram(('enough', 'look', 'really'))"": True, ""trigram(('look', 'really', 'nice'))"": True, ""trigram(('really', 'nice', 'cant'))"": True, ""trigram(('nice', 'cant', 'wait'))"": True, ""trigram(('cant', 'wait', 'see'))"": True, ""trigram(('wait', 'see', 'result'))"": True, ""trigram(('see', 'result', 'would'))"": True}",hate
22,adriana-douglas-2019,And isn't this place photographed well? #4daystogo,"['isnt', 'place', 'photographed', 'well', '4daystogo']","{'length': 38, 'lexdiv': 1.0, 'longestword': 'photographed', 'unigram(isnt)': True, 'unigram(place)': True, 'unigram(photographed)': True, 'unigram(well)': True, 'unigram(4daystogo)': True, ""bigram(('isnt', 'place'))"": True, ""bigram(('place', 'photographed'))"": True, ""bigram(('photographed', 'well'))"": True, ""bigram(('well', '4daystogo'))"": True, ""trigram(('isnt', 'place', 'photographed'))"": True, ""trigram(('place', 'photographed', 'well'))"": True, ""trigram(('photographed', 'well', '4daystogo'))"": True}",surprise
23,edsonekelen,Our candy table!,"['candy', 'table']","{'length': 11, 'lexdiv': 1.0, 'longestword': 'table', 'unigram(candy)': True, 'unigram(table)': True, ""bigram(('candy', 'table'))"": True}",happiness
24,mariana-rafael-03-08-2019,There are 60 days left. It's coming oooo,"['60', 'days', 'left', 'coming', 'oooo']","{'length': 24, 'lexdiv': 1.0, 'longestword': 'coming', 'unigram(60)': True, 'unigram(days)': True, 'unigram(left)': True, 'unigram(coming)': True, 'unigram(oooo)': True, ""bigram(('60', 'days'))"": True, ""bigram(('days', 'left'))"": True, ""bigram(('left', 'coming'))"": True, ""bigram(('coming', 'oooo'))"": True, ""trigram(('60', 'days', 'left'))"": True, ""trigram(('days', 'left', 'coming'))"": True, ""trigram(('left', 'coming', 'oooo'))"": True}",relief
25,gabriela-ronaldo-2020,"Our story began a long time ago. We met at school, we studied together, but I did not think time would provide us with a life together and here we are, ready to live a life for two, with the grace of God.","['story', 'began', 'long', 'time', 'ago', 'met', 'school', 'studied', 'together', 'think', 'time', 'would', 'provide', 'us', 'life', 'together', 'ready', 'live', 'life', 'two', 'grace', 'god']","{'length': 125, 'lexdiv': 0.8636363636363636, 'longestword': 'together', 'repeats(time)': 2, 'repeats(together)': 2, 'repeats(life)': 2, 'unigram(story)': True, 'unigram(began)': True, 'unigram(long)': True, 'unigram(time)': True, 'unigram(ago)': True, 'unigram(met)': True, 'unigram(school)': True, 'unigram(studied)': True, 'unigram(together)': True, 'unigram(think)': True, 'unigram(would)': True, 'unigram(provide)': True, 'unigram(us)': True, 'unigram(life)': True, 'unigram(ready)': True, 'unigram(live)': True, 'unigram(two)': True, 'unigram(grace)': True, 'unigram(god)': True, ""bigram(('story', 'began'))"": True, ""bigram(('began', 'long'))"": True, ""bigram(('long', 'time'))"": True, ""bigram(('time', 'ago'))"": True, ""bigram(('ago', 'met'))"": True, ""bigram(('met', 'school'))"": True, ""bigram(('school', 'studied'))"": True, ""bigram(('studied', 'together'))"": True, ""bigram(('together', 'think'))"": True, ""bigram(('think', 'time'))"": True, ""bigram(('time', 'would'))"": True, ""bigram(('would', 'provide'))"": True, ""bigram(('provide', 'us'))"": True, ""bigram(('us', 'life'))"": True, ""bigram(('life', 'together'))"": True, ""bigram(('together', 'ready'))"": True, ""bigram(('ready', 'live'))"": True, ""bigram(('live', 'life'))"": True, ""bigram(('life', 'two'))"": True, ""bigram(('two', 'grace'))"": True, ""bigram(('grace', 'god'))"": True, ""trigram(('story', 'began', 'long'))"": True, ""trigram(('began', 'long', 'time'))"": True, ""trigram(('long', 'time', 'ago'))"": True, ""trigram(('time', 'ago', 'met'))"": True, ""trigram(('ago', 'met', 'school'))"": True, ""trigram(('met', 'school', 'studied'))"": True, ""trigram(('school', 'studied', 'together'))"": True, ""trigram(('studied', 'together', 'think'))"": True, ""trigram(('together', 'think', 'time'))"": True, ""trigram(('think', 'time', 'would'))"": True, ""trigram(('time', 'would', 'provide'))"": True, ""trigram(('would', 'provide', 'us'))"": True, ""trigram(('provide', 'us', 'life'))"": True, ""trigram(('us', 'life', 'together'))"": True, ""trigram(('life', 'together', 'ready'))"": True, ""trigram(('together', 'ready', 'live'))"": True, ""trigram(('ready', 'live', 'life'))"": True, ""trigram(('live', 'life', 'two'))"": True, ""trigram(('life', 'two', 'grace'))"": True, ""trigram(('two', 'grace', 'god'))"": True}",relief
26,thatieluciano090619,And the heart gets like???,"['heart', 'gets', 'like']","{'length': 15, 'lexdiv': 1.0, 'longestword': 'heart', 'unigram(heart)': True, 'unigram(gets)': True, 'unigram(like)': True, ""bigram(('heart', 'gets'))"": True, ""bigram(('gets', 'like'))"": True, ""trigram(('heart', 'gets', 'like'))"": True}",love
27,casamento-ellen-wesley,Has anyone ever done this is worked?,"['anyone', 'ever', 'done', 'worked']","{'length': 23, 'lexdiv': 1.0, 'longestword': 'worked', 'unigram(anyone)': True, 'unigram(ever)': True, 'unigram(done)': True, 'unigram(worked)': True, ""bigram(('anyone', 'ever'))"": True, ""bigram(('ever', 'done'))"": True, ""bigram(('done', 'worked'))"": True, ""trigram(('anyone', 'ever', 'done'))"": True, ""trigram(('ever', 'done', 'worked'))"": True}",relief
